New York,NY,18713220,10715,America/New_York
Los Angeles,CA,12750807,3276,America/Los_Angeles
Chicago,IL,8604203,4574,America/Chicago
Miami,FL,6445545,5019,America/New_York
Dallas,TX,5743938,1526,America/Chicago
Philadelphia,PA,5649300,4554,America/New_York
Houston,TX,5464251,1399,America/Chicago
Atlanta,GA,5449398,1441,America/New_York
Washington,DC,5379184,4457,America/New_York
Boston,MA,4688346,5532,America/New_York
Phoenix,AZ,4219697,1253,America/Phoenix
Seattle,WA,3789215,3469,America/Los_Angeles
San Francisco,CA,3592294,7256,America/Los_Angeles
Detroit,MI,3506126,1864,America/Detroit
San Diego,CA,3220118,1686,America/Los_Angeles
Minneapolis,MN,2977172,3071,America/Chicago
Tampa,FL,2908063,1353,America/New_York
Denver,CO,2876625,1831,America/Denver
Brooklyn,NY,2559903,14221,America/New_York
Queens,NY,2230722,7885,America/New_York
Riverside,CA,2107852,1574,America/Los_Angeles
Baltimore,MD,2106068,2830,America/New_York
Las Vegas,NV,2104198,1773,America/Los_Angeles
Portland,OR,2074775,1894,America/Los_Angeles
San Antonio,TX,2049293,1231,America/Chicago
St. Louis,MO,2024074,1879,America/Chicago
Sacramento,CA,1898019,2029,America/Los_Angeles
Orlando,FL,1822394,1003,America/New_York
San Jose,CA,1798103,2218,America/Los_Angeles
Cleveland,OH,1710093,1893,America/New_York
Pittsburgh,PA,1703266,2093,America/New_York
Austin,TX,1687311,1181,America/Chicago
Cincinnati,OH,1662691,1507,America/New_York
Kansas City,MO,1636715,607,America/Chicago
Manhattan,NY,1628706,27545,America/New_York
Indianapolis,IN,1588961,935,America/Indiana/Indianapolis
Columbus,OH,1562009,1582,America/New_York
Charlotte,NC,1512923,1113,America/New_York
Virginia Beach,VA,1478868,709,America/New_York
Bronx,NY,1418207,12862,America/New_York
Milwaukee,WI,1365787,2369,America/Chicago
Providence,RI,1203230,3773,America/New_York
Jacksonville,FL,1181496,470,America/New_York
Salt Lake City,UT,1098526,699,America/Denver
Nashville,TN,1081903,544,America/Chicago
Richmond,VA,1075798,1484,America/New_York
Memphis,TN,1066967,792,America/Chicago
Raleigh,NC,1038738,1254,America/New_York
New Orleans,LA,1020886,889,America/Chicago
Louisville,KY,1005654,905,America/New_York
Oklahoma City,OK,972943,417,America/Chicago
Bridgeport,CT,924449,3470,America/New_York
Buffalo,NY,914341,2441,America/New_York
Fort Worth,TX,909585,1016,America/Chicago
Hartford,CT,905152,2712,America/New_York
Tucson,AZ,888486,889,America/Phoenix
Omaha,NE,847819,1309,America/Chicago
El Paso,TX,843386,1022,America/Denver
Honolulu,HI,820987,2200,Pacific/Honolulu
McAllen,TX,804114,841,America/Chicago
Albuquerque,NM,761195,1155,America/Denver
Birmingham,AL,739573,553,America/Chicago
Sarasota,FL,722243,1528,America/New_York
Dayton,OH,718353,978,America/New_York
Rochester,NY,703952,2220,America/New_York
Fresno,CA,703498,1789,America/Los_Angeles
Allentown,PA,683794,2672,America/New_York
Tulsa,OK,671033,784,America/Chicago
Cape Coral,FL,668382,708,America/New_York
Concord,CA,652308,1633,America/Los_Angeles
Colorado Springs,CO,642413,946,America/Denver
Charleston,SC,628377,480,America/New_York
Springfield,MA,623401,1860,America/New_York
Grand Rapids,MI,609314,1734,America/Detroit
Mission Viejo,CA,590249,2058,America/Los_Angeles
Albany,NY,586383,1740,America/New_York
Knoxville,TN,586048,733,America/New_York
Bakersfield,CA,579295,990,America/Los_Angeles
Ogden,UT,578523,1230,America/Denver
Baton Rouge,LA,570308,983,America/Chicago
Akron,OH,565208,1231,America/New_York
New Haven,CT,564830,2690,America/New_York
Columbia,SC,560041,373,America/New_York
Mesa,AZ,518012,1448,America/Phoenix
Palm Bay,FL,507002,456,America/New_York
Provo,UT,500617,1080,America/Denver
Worcester,MA,498328,1916,America/New_York
Murrieta,CA,496046,1335,America/Los_Angeles
Greenville,SC,484465,920,America/New_York
Wichita,KS,482249,931,America/Chicago
Toledo,OH,482111,1308,America/New_York
Staten Island,NY,476143,3156,America/New_York
Des Moines,IA,473957,938,America/Chicago
Long Beach,CA,462628,3523,America/Los_Angeles
Port St. Lucie,FL,461152,653,America/New_York
Denton,TX,457177,567,America/Chicago
Madison,WI,447245,1263,America/Chicago
Reno,NV,445020,907,America/Los_Angeles
Harrisburg,PA,442289,2343,America/New_York
Little Rock,AR,439815,634,America/Chicago
Oakland,CA,433031,2991,America/Los_Angeles
Durham,NC,424700,959,America/New_York
Winston-Salem,NC,422269,721,America/New_York
Bonita Springs,FL,421291,600,America/New_York
Indio,CA,417059,1066,America/Los_Angeles
Palm Coast,FL,417007,364,America/New_York
Chattanooga,TN,415501,493,America/New_York
Spokane,WA,412275,1247,America/Los_Angeles
Syracuse,NY,404223,2195,America/New_York
Lancaster,PA,401524,3166,America/New_York
Arlington,TX,398854,1607,America/Chicago
Stockton,CA,397264,1941,America/Los_Angeles
Poughkeepsie,NY,394760,2290,America/New_York
Augusta,GA,390809,252,America/New_York
Boise,ID,389280,1056,America/Boise
Oxnard,CA,387647,3040,America/Los_Angeles
Scranton,PA,384250,1169,America/New_York
Modesto,CA,383134,1933,America/Los_Angeles
Kissimmee,FL,382720,1349,America/New_York
Aurora,CO,379289,949,America/Denver
Youngstown,OH,378732,744,America/New_York
Fayetteville,AR,351246,625,America/Chicago
Anaheim,CA,350365,2688,America/Los_Angeles
Pensacola,FL,346921,903,America/Chicago
Victorville,CA,346789,641,America/Los_Angeles
Lancaster,CA,343304,645,America/Los_Angeles
Greensboro,NC,343090,887,America/New_York
Corpus Christi,TX,342464,789,America/Chicago
Fort Wayne,IN,334122,943,America/Indiana/Indianapolis
Santa Ana,CA,332318,4689,America/Los_Angeles
Flint,MI,332190,1103,America/Detroit
San Juan,PR,331165,3234,America/Puerto_Rico
Fayetteville,NC,327435,552,America/New_York
Jackson,MS,325350,558,America/Chicago
Santa Rosa,CA,324634,1605,America/Los_Angeles
Lansing,MI,324286,1164,America/Detroit
Ann Arbor,MI,322267,1659,America/Detroit
Henderson,NV,320189,1165,America/Los_Angeles
Huntsville,AL,319249,361,America/Chicago
Lexington,KY,317110,439,America/New_York
Mobile,AL,315502,522,America/Chicago
Fort Collins,CO,312666,1149,America/Denver
Asheville,NC,312507,786,America/New_York
Santa Clarita,CA,312446,1162,America/Los_Angeles
St. Paul,MN,308096,2288,America/Chicago
Antioch,CA,302419,1466,America/Los_Angeles
Lakeland,FL,302284,654,America/New_York
Trenton,NJ,290716,4238,America/New_York
Lincoln,NE,289490,1160,America/Chicago
Springfield,MO,288090,786,America/Chicago
Plano,TX,287677,1549,America/Chicago
Irvine,CA,287401,1691,America/Los_Angeles
Davenport,IA,285362,617,America/Chicago
Rockford,IL,282762,873,America/Chicago
Newark,NJ,282011,4509,America/New_York
South Bend,IN,280498,938,America/Indiana/Indianapolis
Shreveport,LA,280062,672,America/Chicago
Round Lake Beach,IL,279381,2073,America/Chicago
Savannah,GA,276295,536,America/New_York
Myrtle Beach,SC,275579,568,America/New_York
Chula Vista,CA,274492,2134,America/Los_Angeles
Eugene,OR,273439,1510,America/Los_Angeles
Canton,OH,269418,1040,America/New_York
Lubbock,TX,267648,741,America/Chicago
Reading,PA,267155,3466,America/New_York
Winter Haven,FL,267069,538,America/New_York
Salem,OR,266804,1382,America/Los_Angeles
St. Petersburg,FL,265351,1656,America/New_York
Lafayette,LA,264357,877,America/Chicago
Laredo,TX,262079,958,America/Chicago
Jersey City,NJ,262075,6863,America/New_York
Concord,NC,261801,585,America/New_York
Columbus,GA,261445,349,America/New_York
Chandler,AZ,261165,1548,America/Phoenix
McKinney,TX,258277,1148,America/Chicago
Scottsdale,AZ,258069,541,America/Phoenix
Killeen,TX,258009,1073,America/Chicago
Tallahassee,FL,257601,747,America/New_York
Peoria,IL,256286,888,America/Chicago
Wilmington,NC,255616,929,America/New_York
Montgomery,AL,254634,479,America/Chicago
Gilbert,AZ,254114,1432,America/Phoenix
Glendale,AZ,252381,1582,America/Phoenix
North Las Vegas,NV,251974,992,America/Los_Angeles
Anchorage,AK,247949,65,America/Anchorage
Chesapeake,VA,244835,279,America/New_York
Barnstable,MA,242847,286,America/New_York
Norfolk,VA,242742,1759,America/New_York
Fremont,CA,241110,1201,America/Los_Angeles
Kennewick,WA,240735,1186,America/Los_Angeles
Garland,TX,239928,1623,America/Chicago
Irving,TX,239798,1380,America/Chicago
Visalia,CA,237386,1370,America/Los_Angeles
Atlantic City,NJ,237054,1354,America/New_York
Nashua,NH,233917,1118,America/New_York
Paradise,NV,233689,1930,America/Los_Angeles
Hialeah,FL,233339,4174,America/New_York
York,PA,233184,3204,America/New_York
Arlington,VA,231803,3442,America/New_York
Evansville,IN,230427,962,America/Chicago
Avondale,AZ,227289,750,America/Phoenix
Brownsville,TX,227239,533,America/Matamoros
Gulfport,MS,220987,497,America/Chicago
Appleton,WI,220570,1156,America/Chicago
Bremerton,WA,218400,561,America/Los_Angeles
Hickory,NC,218323,536,America/New_York
Tacoma,WA,217827,1690,America/Los_Angeles
San Bernardino,CA,215784,1341,America/Los_Angeles
College Station,TX,215243,890,America/Chicago
Kalamazoo,MI,215193,1192,America/Detroit
Thousand Oaks,CA,215029,885,America/Los_Angeles
Roanoke,VA,214674,900,America/New_York
Fontana,CA,214547,1923,America/Los_Angeles
Moreno Valley,CA,213055,1604,America/Los_Angeles
North Port,FL,209070,274,America/New_York
Fargo,ND,208675,967,America/Chicago
Green Bay,WI,207557,887,America/Chicago
Amarillo,TX,205603,756,America/Chicago
Portland,ME,203969,1185,America/New_York
Santa Barbara,CA,202401,1808,America/Los_Angeles
Gainesville,FL,202335,820,America/New_York
Olympia,WA,200915,1119,America/Los_Angeles
Frisco,TX,200490,1136,America/Chicago
Yonkers,NY,200370,4295,America/New_York
Norwich,CT,200289,533,America/New_York
Spring Valley,NV,199722,2318,America/Los_Angeles
Glendale,CA,199303,2525,America/Los_Angeles
Huntington Beach,CA,199223,2848,America/Los_Angeles
Deltona,FL,198361,960,America/New_York
Aurora,IL,197757,1696,America/Chicago
Tempe,AZ,195805,1891,America/Phoenix
Overland Park,KS,195494,1003,America/Chicago
Grand Prairie,TX,194543,1039,America/Chicago
Sunrise Manor,NV,192934,2231,America/Los_Angeles
Waco,TX,192315,605,America/Chicago
Salinas,CA,190972,2562,America/Los_Angeles
Waterbury,CT,189614,1456,America/New_York
Clarksville,TN,188746,618,America/Chicago
Cedar Rapids,IA,188038,720,America/Chicago
Sioux Falls,SD,187239,907,America/Chicago
Huntington,WV,186034,1073,America/New_York
